uuid,title,type_of_resource,image_id,item_link,rights_uri,has_image,has_mods
8d149491-5153-b46e-e040-e00a18062473,Portrait of Edward Stratemeyer,still image,ps_mss_cd3_19,http://digitalcollections.nypl.org/items/8d149491-5153-b46e-e040-e00a18062473,http://rightsstatements.org/vocab/UND/1.0/,True,True
8d14e48b-796d-814c-e040-e00a18062163,"Portrait of Edward Stratemeyer, standing",still image,ps_mss_cd3_21,http://digitalcollections.nypl.org/items/8d14e48b-796d-814c-e040-e00a18062163,http://rightsstatements.org/vocab/UND/1.0/,True,True
8d0197cb-001d-0642-e040-e00a18062687,"Harriet Stratemeyer, Senior at Wellesley College",still image,ps_mss_601,http://digitalcollections.nypl.org/items/8d0197cb-001d-0642-e040-e00a18062687,http://rightsstatements.org/vocab/UND/1.0/,True,True
de52eb90-09b8-0131-22e0-58d385a7bbd0,Magdalene Baker Van Camp Stratemeyer wearing fur coat,still image,5060157,http://digitalcollections.nypl.org/items/de52eb90-09b8-0131-22e0-58d385a7bbd0,http://rightsstatements.org/vocab/UND/1.0/,True,True
747bcc90-09bc-0131-f5e1-58d385a7b928,"Transfer to Edward Stratemeyer of uncompleted manuscript written by Horatio Alger, Jr.",text,5060156,http://digitalcollections.nypl.org/items/747bcc90-09bc-0131-f5e1-58d385a7b928,http://rightsstatements.org/vocab/NoC-US/1.0/,True,True
605822c0-09bd-0131-d90c-58d385a7b928,Transfer of copyright for “The Young Band Master” by Capt. Ralph Bonehill,text,5060155,http://digitalcollections.nypl.org/items/605822c0-09bd-0131-d90c-58d385a7b928,http://rightsstatements.org/vocab/NoC-US/1.0/,True,True
8d14c935-06f1-5bb1-e040-e00a18062314,Frankie Thomas and Bonita Granville in Nancy Drew Detective,still image,ps_mss_611,http://digitalcollections.nypl.org/items/8d14c935-06f1-5bb1-e040-e00a18062314,http://rightsstatements.org/vocab/UND/1.0/,True,True
79352d40-09be-0131-c055-58d385a7b928,Our Friend,text,5060151,http://digitalcollections.nypl.org/items/79352d40-09be-0131-c055-58d385a7b928,http://rightsstatements.org/vocab/NoC-US/1.0/,True,True
8cb0dc10-09be-0131-1567-58d385a7b928,Our Friend,text,5060152,http://digitalcollections.nypl.org/items/8cb0dc10-09be-0131-1567-58d385a7b928,http://rightsstatements.org/vocab/NoC-US/1.0/,True,True
fa209ab0-09be-0131-3f23-58d385a7b928,Juvenile literature past and present,text,5060153,http://digitalcollections.nypl.org/items/fa209ab0-09be-0131-3f23-58d385a7b928,http://rightsstatements.org/vocab/UND/1.0/,True,True
fa7c4980-09be-0131-1e7c-58d385a7b928,Juvenile literature past and present,text,5060154,http://digitalcollections.nypl.org/items/fa7c4980-09be-0131-1e7c-58d385a7b928,http://rightsstatements.org/vocab/UND/1.0/,True,True
